ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
w,47.3773,w,1,0.6361,0,0,0,3,1,doppleganger,word,w,SS,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,w,1,0.4744,0,1,1,0,1,dog,word,w,S,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,w,1,0.4326,0,2,2,1,1,house,word,w,SS,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.7803,0,3,3,9,1,casterd,nonword,n,SS,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.8677,0,4,4,7,1,imleit,nonword,n,SS,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.8402,0,5,5,8,1,dipplagungor,nonword,n,S,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,w,1,0.8408,0,6,6,2,1,umlaut,word,w,S,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.6564,0,7,7,5,1,deg,nonword,n,SS,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,w,1,0.6502,0,8,8,4,1,custard,word,w,S,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.7222,0,9,9,6,1,haise,nonword,n,S,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,,,,,,
,,n,1,0.6874,,,,,,knuwlidge,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,0,0,119,1,145
,,w,1,0.4477,,,,,,painting,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,1,1,22,1,59
,,n,1,0.5908,,,,,,relogoous,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,2,2,81,1,165
,,n,1,0.6625,,,,,,otchur,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,3,3,100,1,1
,,w,1,0.5213,,,,,,assets,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,4,4,55,1,13
,,n,1,0.616,,,,,,chencels,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,5,5,87,1,1
,,w,0,0.5603,,,,,,rivurence,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,6,6,79,1,5
,,n,1,0.7224,,,,,,frageloty,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,7,7,103,1,2
,,w,1,0.8179,,,,,,inductive,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,8,8,46,1,1
,,w,1,0.8587,,,,,,elegies,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,9,9,38,1,1
,,n,1,0.6762,,,,,,urchastre,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,10,10,80,1,60
,,w,1,0.6573,,,,,,liberties,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,11,11,4,1,8
,,n,1,0.7084,,,,,,merket,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,12,12,76,1,133
,,n,1,0.6399,,,,,,calestoel,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,13,13,90,1,8
,,w,1,0.5715,,,,,,religious,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,14,14,21,1,165
,,w,1,0.6778,,,,,,barrister,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,15,15,11,1,1
,,w,1,0.6623,,,,,,mundane,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,16,16,50,1,3
,,w,1,0.5466,,,,,,celestial,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,17,17,30,1,8
,,w,1,0.6705,,,,,,knowledge,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,18,18,59,1,145
,,n,1,0.6291,,,,,,gavirnmunt,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,19,19,104,1,417
,,n,0,1.1916,,,,,,beatific,word,w,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,20,20,14,1,1
,,n,1,1.0095,,,,,,aurthly,nonword,n,,anonymous?,m,19,03,2021-10-05_19h20.34.320,WordFreq,2021.1.4,Win32,59.9268892,0,21,21,91,1,6
